File,aid,Date,1,2,11,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,131,133,134,135,136,201,202,203,204
SRTMGL1_NUM_20000211T000000_aid0001,aid0001,2000-02-11 00:00:00+00:00,29514,46415,1266,1,19,55,168,464,1007,1926,2458,823,723,631,1160,1496,637,326,269,227,184,206,191,198,86,41,1,2,24,54,80,56,22105778,22478124,7198531,614385
